Month,FiscalSentimentIndex
2011-02,-0.017795952
2011-03,-0.011918729
2011-04,-0.024131244
2011-05,-0.0193484
2011-06,-0.015173063
2011-07,-0.013475485
2011-08,-0.024306089
2011-09,-0.0127637535
2011-10,-0.010850717
2011-11,-0.012669259
2011-12,-0.012860069
2012-01,-0.017131632
2012-02,-0.020114603
2012-03,-0.01544688
2012-04,-0.021211796
2012-05,-0.019648574
2012-06,-0.0072506666
2012-07,-0.009655828
2012-08,-0.0068610325
2012-09,-0.012510774
2012-10,-0.01531225
2012-11,-0.013478258
2012-12,-0.016299894
2013-01,-0.01952901
2013-02,-0.012597394
2013-03,-0.0104673095
2013-04,-0.018157844
2013-05,-0.020748518
2013-06,-0.0096998755
2013-07,-0.017242549
2013-08,-0.018005231
2013-09,-0.012971765
2013-10,-0.012923583
2013-11,-0.01153804
2013-12,-0.0111230705
2014-01,-0.022426922
2014-02,-0.023138173
2014-03,-0.018529281
2014-04,-0.012766408
2014-05,-0.01670339
2014-06,-0.014403774
2014-07,-0.02568549
2014-08,-0.015845869
2014-09,-0.015732314
2014-10,-0.023672732
2014-11,-0.018515253
2014-12,-0.012703904
2015-01,-0.01110933
2015-02,-0.014806788
2015-03,-0.016776914
2015-04,-0.016744442
2015-05,-0.010730625
2015-06,-0.017295765
2015-07,-0.015581997
2015-08,-0.01553383
2015-09,-0.02062131
2015-10,-0.01957292
2015-11,-0.0064707245
2015-12,-0.013871336
2016-01,-0.010291068
2016-02,-0.021501128
2016-03,-0.010299974
2016-04,-0.0066630803
2016-05,-0.020339323
2016-06,-0.013908409
2016-07,-0.015103478
2016-08,-0.017873798
2016-09,-0.0065131676
2016-10,-0.009214964
2016-11,-0.0097992495
2016-12,-0.0077928314
2017-01,-0.009833045
2017-02,-0.005044749
2017-03,-0.0073922803
2017-04,-0.004784386
2017-05,-0.027564097
2017-06,-0.015340417
2017-07,-0.008803528
2017-08,-0.005421542
2017-09,-0.008861206
2017-10,-0.014331137
2017-11,-0.018281458
2017-12,-0.01274614
2018-01,-0.006535083
2018-02,-0.0042991242
2018-03,-0.0134957675
2018-04,-0.005744048
2018-05,-0.0195786
2018-06,-0.0067660892
2018-07,-0.0063936003
2018-08,-0.011314884
2018-09,-0.00639252
2018-10,-0.012105566
2018-11,-0.0064930823
2018-12,-0.008577182
2019-01,-0.008296789
2019-02,-0.015014061
2019-03,-0.009585472
2019-04,-0.010929997
2019-05,-0.0077988524
2019-06,-0.006550309
2019-07,-0.009670173
2019-08,-0.012503433
2019-09,-0.01280239
2019-10,-0.012863338
2019-11,-0.013207048
2019-12,-0.010269005
2020-01,0.00024332962
2020-02,-0.016845156
2020-03,-0.034310345
2020-04,-0.030596666
2020-05,-0.02477343
2020-06,-0.020148065
2020-07,-0.019082936
2020-08,-0.023709463
2020-09,-0.013325819
2020-10,-0.013215816
2020-11,-0.0144465165
2020-12,-0.009186217
2021-01,-0.017714653
